Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.15     0.00   142482     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.15     0.00   141827     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_M_get_Tp_allocator() const
  0.00      0.15     0.00   141119     0.00     0.00  SINGLEVL(int)
  0.00      0.15     0.00   140517     0.00     0.00  std::remove_reference<std::vector<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >&>::type&& std::move<std::vector<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >&>(std::vector<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >&)
  0.00      0.15     0.00   136924     0.00     0.00  CardCombo&& std::forward<CardCombo>(std::remove_reference<CardCombo>::type&)
  0.00      0.15     0.00   136438     0.00     0.00  std::array<std::set<short, std::less<short>, std::allocator<short> >, 3ul>::data() const
  0.00      0.15     0.00   136438     0.00     0.00  std::_Iter_base<std::set<short, std::less<short>, std::allocator<short> > const*, false>::_S_base(std::set<short, std::less<short>, std::allocator<short> > const*)
  0.00      0.15     0.00   136438     0.00     0.00  std::_Niter_base<std::set<short, std::less<short>, std::allocator<short> > const*>::iterator_type std::__niter_base<std::set<short, std::less<short>, std::allocator<short> > const*>(std::set<short, std::less<short>, std::allocator<short> > const*)
  0.00      0.15     0.00   131195     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.15     0.00   131195     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.15     0.00   130949     0.00     0.00  std::_Vector_base<short, std::allocator<short> >::_Vector_impl::_Vector_impl(std::allocator<short> const&)
  0.00      0.15     0.00   128320     0.00     0.00  std::_Iter_base<short*, false>::_S_base(short*)
  0.00      0.15     0.00   128238     0.00     0.00  std::_Niter_base<short*>::iterator_type std::__niter_base<short*>(short*)
  0.00      0.15     0.00   127772     0.00     0.00  std::_Vector_base<CardCombo::CardPack, std::allocator<CardCombo::CardPack> >::_M_get_Tp_allocator() const
  0.00      0.15     0.00   123687     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_erase(std::_Rb_tree_node<short>*)
  0.00      0.15     0.00   118142     0.00     0.00  __gnu_cxx::new_allocator<short>::max_size() const
  0.00      0.15     0.00   114024     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<double, CardCombo>*, std::vector<std::pair<double, CardCombo>, std::allocator<std::pair<double, CardCombo> > > >::operator*() const
  0.00      0.15     0.00   110925     0.00     0.00  std::__array_traits<std::set<short, std::less<short>, std::allocator<short> >, 3ul>::_S_ref(std::set<short, std::less<short>, std::allocator<short> > const (&) [3], unsigned long)
  0.00      0.15     0.00   110925     0.00     0.00  std::array<std::set<short, std::less<short>, std::allocator<short> >, 3ul>::operator[](unsigned long)
  0.00      0.15     0.00   110631     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<std::array<std::set<short, std::less<short>, std::allocator<short> >, 3ul>, double>*, std::vector<std::pair<std::array<std::set<short, std::less<short>, std::allocator<short> >, 3ul>, double>, std::allocator<std::pair<std::array<std::set<short, std::less<short>, std::allocator<short> >, 3ul>, double> > > >::operator*() const
  0.00      0.15     0.00   108175     0.00     0.00  std::_Iter_base<CardCombo::CardPack*, false>::_S_base(CardCombo::CardPack*)
  0.00      0.15     0.00   108175     0.00     0.00  std::_Niter_base<CardCombo::CardPack*>::iterator_type std::__niter_base<CardCombo::CardPack*>(CardCombo::CardPack*)
  0.00      0.15     0.00   106605     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<std::set<short, std::less<short>, std::allocator<short> > const*, std::set<short, std::less<short>, std::allocator<short> > const*>(std::set<short, std::less<short>, std::allocator<short> > const*, std::set<short, std::less<short>, std::allocator<short> > const*) const
  0.00      0.15     0.00   106605     0.00     0.00  bool std::__lexicographical_compare<false>::__lc<std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short> >(std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>)
